"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","command","dropout_rate","learning_rate","method","metric.goal","metric.name","name","optimizer","parameters.batch_sizes","parameters.dropout_rate.distribution","parameters.dropout_rate.max","parameters.dropout_rate.min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.optimizers","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","program","weight_decay","avg_loss","loss","test.accuracy","test.f1","test.precision","test.recall","test_accuracy","test_f1","test_precision","test_recall","train.avg_loss","train.loss","val.acc","val.f1","val.f1-score","val.loss","val.precision","val.recall"
"jumping-sweep-77","","finished","Propaganda classification with BERT","","","2024-05-15T22:10:20.000Z","56","3ofmtlxo","64","","0.21805207641171093","0.02237392149283852","","","","","SGD","","","","","","","","","","","","","0.009164499198001509","0.27532332284109934","0.1090886816382408","0.6989247311827957","0.7027590330403459","0.728673835125448","0.6989247311827957","0.6989247311827957","0.7027590330403459","0.728673835125448","0.6989247311827957","","","0.5925925925925926","","0.5908193239154081","1.4878262877464294","0.6086820331416783","0.5925925925925926"
"fast-sweep-45","","finished","Propaganda classification with BERT","","","2024-05-15T21:33:57.000Z","57","3ofmtlxo","32","","0.1930036752869628","0.010829480121560703","","","","","SGD","","","","","","","","","","","","","0.006292205501469967","0.11564986453187176","0.1288250982761383","0.5806451612903226","0.5438403324651202","0.601721812713176","0.5806451612903226","0.5806451612903226","0.5438403324651202","0.601721812713176","0.5806451612903226","","","0.5694444444444444","","0.5678860921244836","1.574420435088021","0.6458918944168729","0.5694444444444444"
"astral-sweep-82","","finished","Propaganda classification with BERT","","","2024-05-15T22:16:02.000Z","56","3ofmtlxo","64","","0.3506253236724034","0.010500953124400724","","","","","SGD","","","","","","","","","","","","","0.0020321499162973726","0.48724099851789926","0.40442344546318054","0.5591397849462365","0.5267867776766553","0.6438529911115549","0.5591397849462365","0.5591397849462365","0.5267867776766553","0.6438529911115549","0.5591397849462365","","","0.46296296296296297","","0.4279657635217409","1.6913491785526276","0.5572313746128034","0.46296296296296297"
"wise-sweep-62","","finished","Propaganda classification with BERT","","","2024-05-15T21:53:20.000Z","55","3ofmtlxo","64","","0.18011727302346592","0.021064602868247753","","","","","SGD","","","","","","","","","","","","","0.007461892168029335","0.23918953183151423","0.27734068036079407","0.5483870967741935","0.5213466706845314","0.5903862478777588","0.5483870967741935","0.5483870967741935","0.5213466706845314","0.5903862478777588","0.5483870967741935","","","0.5925925925925926","","0.5975433555590393","1.2605917155742643","0.6261098922029413","0.5925925925925926"
"fanciful-sweep-35","","finished","Propaganda classification with BERT","","","2024-05-15T21:22:22.000Z","55","3ofmtlxo","64","","0.27610302239475676","0.02686021648519645","","","","","SGD","","","","","","","","","","","","","0.00301156096010893","0.28649650052899406","0.12038519233465196","0.5053763440860215","0.5070661990467749","0.5255071093780771","0.5053763440860215","0.5053763440860215","0.5070661990467749","0.5255071093780771","0.5053763440860215","","","0.625","","0.6277581644664614","1.2026413679122925","0.6441145173935029","0.625"
"wobbly-sweep-31","","finished","Propaganda classification with BERT","","","2024-05-15T21:18:08.000Z","53","3ofmtlxo","64","","0.1651330379387287","0.04350852284894272","","","","","SGD","","","","","","","","","","","","","0.009599201974452977","0.13044572798978715","0.20137085020542145","0.25806451612903225","0.22208436724565755","0.3944866118490407","0.25806451612903225","0.25806451612903225","0.22208436724565755","0.3944866118490407","0.25806451612903225","","","0.2777777777777778","","0.2162133325906883","3.4460572600364685","0.3811843624877813","0.2777777777777778"
"stoic-sweep-66","","finished","Propaganda classification with BERT","","","2024-05-15T21:57:44.000Z","58","3ofmtlxo","32","","0.4147660260993541","0.010847482858152326","","","","","SGD","","","","","","","","","","","","","0.008620834732326488","0.4626139467809258","1.1828993558883667","0.21505376344086025","0.14239532292729803","0.289980449657869","0.21505376344086025","0.21505376344086025","0.14239532292729803","0.289980449657869","0.21505376344086025","","","0.3657407407407408","","0.31780112917566605","2.2316610983439853","0.46207890347697594","0.3657407407407408"
"rose-sweep-25","","finished","Propaganda classification with BERT","","","2024-05-15T21:11:34.000Z","59","3ofmtlxo","32","","0.3714117335194243","0.030147911742772072","","","","","RMSprop","","","","","","","","","","","","","0.00370516392733508","28.57509906117509","35.28944778442383","0.1935483870967742","0.06277244986922408","0.037460978147762745","0.1935483870967742","0.1935483870967742","0.06277244986922408","0.037460978147762745","0.1935483870967742","","","0.11574074074074074","","0.02401260181343169","42.3609128679548","0.013395919067215364","0.11574074074074074"
"crimson-sweep-27","","finished","Propaganda classification with BERT","","","2024-05-15T21:13:43.000Z","59","3ofmtlxo","32","","0.378909940632386","0.0552101953482102","","","","","RMSprop","","","","","","","","","","","","","0.004788546715642324","54.49700581155172","49.43024826049805","0.1827956989247312","0.05650048875855327","0.03341426754538097","0.1827956989247312","0.1827956989247312","0.05650048875855327","0.03341426754538097","0.1827956989247312","","","0.12037037037037036","","0.025864707682889503","42.83466993059431","0.014489026063100137","0.12037037037037036"
"copper-sweep-32","","finished","Propaganda classification with BERT","","","2024-05-15T21:19:10.000Z","59","3ofmtlxo","16","","0.16691825992528037","0.06661319167019455","","","","","SGD","","","","","","","","","","","","","0.006651580429281727","2.083771019806097","2.083355665206909","0.1827956989247312","0.05650048875855327","0.03341426754538097","0.1827956989247312","0.1827956989247312","0.05650048875855327","0.03341426754538097","0.1827956989247312","","","0.10185185185185185","","0.01882975412387177","2.093511325972421","0.010373799725651577","0.10185185185185185"
"pretty-sweep-44","","finished","Propaganda classification with BERT","","","2024-05-15T21:32:45.000Z","63","3ofmtlxo","16","","0.4034429414688544","0.07805158455125241","","","","","RMSprop","","","","","","","","","","","","","0.008425509470953673","76.82285730338391","65.38259887695312","0.1827956989247312","0.05650048875855327","0.03341426754538097","0.1827956989247312","0.1827956989247312","0.05650048875855327","0.03341426754538097","0.1827956989247312","","","0.0787037037037037","","0.011484660626291528","116.8272830418178","0.006194272976680384","0.0787037037037037"
"vital-sweep-50","","finished","Propaganda classification with BERT","","","2024-05-15T21:39:40.000Z","65","3ofmtlxo","16","","0.2321879982856866","0.06500878581907156","","","","","AdamW","","","","","","","","","","","","","0.0026793628234237418","18.57244261988887","35.37076950073242","0.1827956989247312","0.05650048875855327","0.03341426754538097","0.1827956989247312","0.1827956989247312","0.05650048875855327","0.03341426754538097","0.1827956989247312","","","0.12962962962962962","","0.029751062537947785","28.80649675641741","0.01680384087791495","0.12962962962962962"
"revived-sweep-64","","finished","Propaganda classification with BERT","","","2024-05-15T21:55:29.000Z","65","3ofmtlxo","16","","0.41430556344702407","0.029353854858874255","","","","","AdamW","","","","","","","","","","","","","0.004162583422548555","6.029814272751043","6.816877365112305","0.1720430107526882","0.0505080398540002","0.02959879754884958","0.1720430107526882","0.1720430107526882","0.0505080398540002","0.02959879754884958","0.1720430107526882","","","0.125","","0.027777777777777776","6.125789165496826","0.015625","0.125"
"autumn-sweep-42","","finished","Propaganda classification with BERT","","","2024-05-15T21:30:30.000Z","65","3ofmtlxo","16","","0.3117639107155573","0.05488459849668375","","","","","AdamW","","","","","","","","","","","","","0.005018995117578786","13.889568175798582","14.26898193359375","0.1720430107526882","0.0505080398540002","0.02959879754884958","0.1720430107526882","0.1720430107526882","0.0505080398540002","0.02959879754884958","0.1720430107526882","","","0.125","","0.027777777777777776","14.247033630098615","0.015625","0.125"
