"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","command","dropout_rate","learning_rate","method","metric.goal","metric.name","name","optimizer","parameters.batch_sizes","parameters.dropout_rate.distribution","parameters.dropout_rate.max","parameters.dropout_rate.min","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.optimizers","parameters.weight_decay.distribution","parameters.weight_decay.max","parameters.weight_decay.min","program","weight_decay","avg_loss","loss","test.accuracy","test.f1","test.precision","test.recall","test_accuracy","test_f1","test_precision","test_recall","train.avg_loss","train.loss","val.acc","val.f1","val.f1-score","val.loss","val.precision","val.recall"
"curious-sweep-79","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T18:59:39.000Z","109","x0vipaj7","16","","0.18604433133268403","0.01057728415157835","","","","","SGD","","","","","","","","","","","","","0.005504583011790077","","","0.8020833333333334","0.8003464604358638","0.8100680386864597","0.8020833333333334","0.8020833333333334","0.8003464604358638","0.8100680386864597","0.8020833333333334","0.1387190318957437","","0.7700892857142857","0.7736641065966338","","0.6963957042566368","0.7940787503742889","0.7700892857142857"
"volcanic-sweep-135","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T20:49:54.000Z","101","x0vipaj7","64","","0.27085996136543355","0.03790569381420101","","","","","SGD","","","","","","","","","","","","","0.0028619781697651623","","","0.7760416666666666","0.7734392800182274","0.7982549857549858","0.7760416666666666","0.7760416666666666","0.7734392800182274","0.7982549857549858","0.7760416666666666","0.4264627806842327","","0.71875","0.7266353502523312","","0.5973219786371503","0.7598527807251106","0.71875"
"avid-sweep-114","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T20:09:19.000Z","101","x0vipaj7","64","","0.22920758813432332","0.012328128999684718","","","","","SGD","","","","","","","","","","","","","0.006495673985593062","","","0.7760416666666666","0.7702660169451186","0.7845865885416666","0.7760416666666666","0.7760416666666666","0.7702660169451186","0.7845865885416666","0.7760416666666666","0.39708046019077303","","0.7589285714285714","0.7619692697567009","","0.5432215843881879","0.7838408801020409","0.7589285714285714"
"daily-sweep-119","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T20:19:00.000Z","104","x0vipaj7","32","","0.1712481779220883","0.016513055865718815","","","","","SGD","","","","","","","","","","","","","0.002559218419019872","","","0.7604166666666666","0.7597085385878489","0.7604993386243386","0.7604166666666666","0.7604166666666666","0.7597085385878489","0.7604993386243386","0.7604166666666666","0.25984962098300457","","0.7611607142857143","0.7612500650228416","","0.7275824525526592","0.7615290216403604","0.7611607142857143"
"sweet-sweep-166","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T21:49:32.000Z","105","x0vipaj7","32","","0.21310575708122495","0.022618164353371835","","","","","SGD","","","","","","","","","","","","","0.008604560211754656","","","0.7604166666666666","0.7595043158161969","0.7667824074074074","0.7604166666666666","0.7604166666666666","0.7595043158161969","0.7667824074074074","0.7604166666666666","0.3176361586432904","","0.7544642857142857","0.7554426337668609","","0.4877154018197741","0.7588527784681574","0.7544642857142857"
"efficient-sweep-30","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T17:26:23.000Z","105","x0vipaj7","32","","0.14942930185766756","0.020856816851017167","","","","","SGD","","","","","","","","","","","","","0.0021507959228314983","","","0.75","0.75","0.7664545853444493","0.75","0.75","0.75","0.7664545853444493","0.75","0.31440468328073623","","0.7566964285714286","0.7572832350459147","","0.528188841683524","0.7618564488575699","0.7566964285714286"
"neat-sweep-105","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T19:51:27.000Z","106","x0vipaj7","32","","0.1174173120114737","0.03183583686506398","","","","","SGD","","","","","","","","","","","","","0.00714209786564707","","","0.75","0.7471590909090908","0.772962962962963","0.75","0.75","0.7471590909090908","0.772962962962963","0.75","0.5270386092364788","","0.703125","0.7082930657671997","","0.5772112373794828","0.7429478709613083","0.703125"
"sweepy-sweep-115","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T20:11:09.000Z","109","x0vipaj7","16","","0.3859137478561761","0.013290690093075297","","","","","SGD","","","","","","","","","","","","","0.008988970128530664","","","0.7291666666666666","0.7294018671298307","0.7321699956578375","0.7291666666666666","0.7291666666666666","0.7294018671298307","0.7321699956578375","0.7291666666666666","0.5197889494709671","","0.75","0.7506880733944953","","0.4983584050621305","0.7672890733056708","0.75"
"easy-sweep-183","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T22:22:26.000Z","106","x0vipaj7","32","","0.38353987846074233","0.012074975675111252","","","","","SGD","","","","","","","","","","","","","0.0038457168199879906","","","0.6458333333333334","0.6210333723653395","0.683941672780631","0.6458333333333334","0.6458333333333334","0.6210333723653395","0.683941672780631","0.6458333333333334","0.6878584221005439","","0.640625","0.6642381046193103","","0.6419575214385986","0.7523871527777778","0.640625"
"ethereal-sweep-126","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T20:32:33.000Z","103","x0vipaj7","32","","0.3532329415404738","0.02591091973592139","","","","","SGD","","","","","","","","","","","","","0.008816014806914938","","","0.625","0.6163783574665636","0.6445820895522388","0.625","0.625","0.6163783574665636","0.6445820895522388","0.625","0.6758491806685925","","0.6116071428571429","0.6248478084415584","","0.6504145264625549","0.6652636054421769","0.6116071428571429"
"different-sweep-120","","finished","Binary propaganda classification with bert, including weight decay and dropout rate","","","2024-05-16T20:20:54.000Z","101","x0vipaj7","64","","0.3170109551944593","0.02551831291103548","","","","","SGD","","","","","","","","","","","","","0.0017641549270897045","","","0.640625","0.6065078549405373","0.743013658454835","0.640625","0.640625","0.6065078549405373","0.743013658454835","0.640625","0.4807565927505493","","0.6875","0.7101002629848783","","0.6360536047390529","0.8354591836734694","0.6875"
